ChildlessnessPercent,CCF,HFDCountry,DHSIndianDistrict
.0097087379544973,3.864077568054199,0,1
.0097087379544973,3.873786449432373,0,1
.0243902429938316,3.95121955871582,0,1
0,4,0,1
.0117647061124444,3.70588231086731,0,1
0,3.938144445419312,0,1
.0099009899422526,3.811881303787231,0,1
.105882354080677,2.047058820724487,0,1
.1060606092214584,1.833333373069763,0,1
.1222222223877907,1.700000047683716,0,1
.105882354080677,1.811764717102051,0,1
.047244094312191,2.34645676612854,0,1
.0588235296308994,2.176470518112183,0,1
.0089285718277097,3.4375,0,1
.0588235296308994,2.637254953384399,0,1
0,3.345454454421997,0,1
.1140350848436356,2.385964870452881,0,1
.0381679385900497,2.824427366256714,0,1
.0373134315013885,2.634328365325928,0,1
.1456310749053955,2.31067967414856,0,1
.0597014911472797,2.597014904022217,0,1
.0625,2.612499952316284,0,1
.1392405033111572,2.810126543045044,0,1
.0823529437184334,2.270588159561157,0,1
.1176470592617989,3.22352933883667,0,1
.1764705926179886,2.558823585510254,0,1
.1388888955116272,2.231481552124023,0,1
.0714285746216774,2.785714387893677,0,1
.0869565233588219,3.63043475151062,0,1
.064935065805912,3.467532396316528,0,1
.0769230797886848,3.182692289352417,0,1
.0985915511846542,2.436619758605957,0,1
.1057692319154739,3.192307710647583,0,1
.0909090936183929,3.233766317367554,0,1
.0721649453043938,3.051546335220337,0,1
.0891089141368866,2.811881303787231,0,1
.1167883202433586,2.197080373764038,0,1
.0819672122597694,2.696721315383911,0,1
.094488188624382,2.062992095947266,0,1
.1404958665370941,1.966942191123962,0,1
.123287670314312,3.49315071105957,0,1
.0722891539335251,3.060240983963013,0,1
.0869565233588219,2.94565224647522,0,1
.1030927821993828,2.628865957260132,0,1
.1568627506494522,2.323529481887817,0,1
.1730769276618958,2.394230842590332,0,1
.1280000060796738,2.407999992370605,0,1
.1584158390760422,2.188118696212769,0,1
.0495867766439915,2.925619840621948,0,1
.1481481492519379,2.555555582046509,0,1
.0442477874457836,2.398230075836182,0,1
.031496062874794,2.543307065963745,0,1
.0462962947785854,4.138888835906982,0,1
.1338582634925842,2.842519760131836,0,1
.0188679248094559,2.481132030487061,0,1
.0338983051478863,2.745762825012207,0,1
.0428571440279484,3.04285717010498,0,1
.027522936463356,2.825688123703003,0,1
.0736842080950737,2.431578874588013,0,1
.0161290317773819,2.5,0,1
.0564516112208366,2.217741966247559,0,1
.1020408198237419,2.224489688873291,0,1
.0338983051478863,2.313559293746948,0,1
.0495867766439915,2.380165338516235,0,1
.0520833320915699,2.979166746139526,0,1
.1009174287319183,3.009174346923828,0,1
.0408163256943226,3.09183669090271,0,1
.059405941516161,2.316831588745117,0,1
.0434782616794109,2.39130425453186,0,1
.0609756112098694,2.195122003555298,0,1
.1145833358168602,1.6875,0,1
.0380952395498753,2.180952310562134,0,1
.0796460211277008,2.141592979431152,0,1
.0958904102444649,2.50684928894043,0,1
.0666666701436043,2.433333396911621,0,1
.0776699036359787,2.048543691635132,0,1
.0560747645795345,2.420560836791992,0,1
.0373831763863564,2.392523288726807,0,1
.0136986300349236,3.095890522003174,0,1
.0082644624635577,2.231405019760132,0,1
.0212765950709581,2.829787254333496,0,1
.0404040403664112,2.646464586257935,0,1
.0344827584922314,2.356321811676025,0,1
.0350877195596695,2.070175409317017,0,1
.0571428574621677,1.990476131439209,0,1
.1226415112614632,1.726415038108826,0,1
.0085470089688897,2.401709318161011,0,1
.0322580635547638,2.709677457809448,0,1
.0462962947785854,1.907407402992249,0,1
.0666666701436043,1.744444489479065,0,1
.0700000002980232,2.329999923706055,0,1
.0373831763863564,2.242990732192993,0,1
.0297029707580805,2,0,1
.0283018872141838,3.632075548171997,0,1
.0078125,3.7734375,0,1
0,3.446153879165649,0,1
0,3.405172348022461,0,1
0,3.320754766464233,0,1
.0309278350323439,3.453608274459839,0,1
.0493827164173126,3.703703641891479,0,1
.0485436879098415,3.475728273391724,0,1
.0322580635547638,2.951612949371338,0,1
.0272727273404598,2.718181848526001,0,1
.0576923079788685,3.298076868057251,0,1
.0186915881931782,2.523364543914795,0,1
.0243902429938316,3.609755992889404,0,1
0,3.773584842681885,0,1
.0227272734045982,3.25,0,1
.0125000001862645,3.549999952316284,0,1
.0098039219155908,2.941176414489746,0,1
.0384615398943424,2.663461446762085,0,1
.104347825050354,2.713043451309204,0,1
.0648148134350777,2.851851940155029,0,1
.0178571436554193,3.196428537368774,0,1
.0305343512445688,3.015267133712769,0,1
.1134020611643791,3.288659811019897,0,1
.0961538478732109,2.490384578704834,0,1
.115384615957737,2.173076868057251,0,1
.0515463910996914,2.164948463439941,0,1
.1568627506494522,1.970588207244873,0,1
.0849056616425514,2.386792421340942,0,1
.0927835032343864,2.350515365600586,0,1
.0581395365297794,2.813953399658203,0,1
.0909090936183929,2.5,0,1
.0188679248094559,2.283018827438354,0,1
.0202020201832056,2.65656566619873,0,1
.0196078438311815,2.401960849761963,0,1
