ISO3Alphacode,CCFLowest,CCFLatest
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ISL,2.1889999,2.22
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
ITA,1.421,1.421
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
JPN,1.432,1.479
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
LTU,1.698,1.771
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NLD,1.753,1.7920001
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
