CCF,CEBParous,r2,inplotlabel
2.094,2.1744549,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.091,2.1668394,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.078,2.1668406,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.077,2.1478801,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.072,2.1338825,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.053,2.1407716,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.051,2.1386862,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.065,2.1223021,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.076,2.109756,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.066,2.1168032,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.043,2.1237006,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.042,2.1138716,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.035,2.0979381,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.039,2.0912821,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.031,2.0916581,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.032,2.0862422,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.036,2.0775511,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.019,2.0623085,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.99,2.0431211,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.95,2.0249221,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.909,2.0158396,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.884,2.0063899,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.868,1.9914712,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.857,1.9650793,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.833,1.9396825,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.809,1.8922594,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.792,1.8493292,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.757,1.8207254,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.705,1.8061441,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.682,1.7855626,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.663,1.771033,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.663,1.7653928,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.659,1.7536998,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.642,1.7375661,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.64,1.7372881,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.65,1.7515924,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.657,1.762766,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.968,2.0869565,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.938,2.0705128,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.964,2.0587003,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.928,2.0467091,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.886,2.0323277,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.915,2.0307529,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.931,2.0283613,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.926,2.0252366,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.924,2.0146596,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.921,1.9804124,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.891,1.9595855,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.873,1.9429461,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.857,1.9283489,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.815,1.8985356,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.736,1.8686759,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.684,1.8505495,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.689,1.8479213,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.7,1.8438178,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.713,1.8031579,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.709,1.7820647,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.694,1.7645833,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.665,1.7544785,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.618,1.7625272,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.585,1.7611111,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.575,1.7736486,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.574,1.7988571,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
3.077,3.2699256,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.987,3.1912394,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.908,3.1035218,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.833,3.0138297,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.76,2.9113925,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.664,2.7983193,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.546,2.6743698,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.451,2.5584552,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.343,2.4741287,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.198,2.4153845,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.114,2.359375,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.133,2.2960172,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.107,2.2631578,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.025,2.2525027,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.968,2.2440138,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.927,2.2380953,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.897,2.2396693,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.882,2.2431467,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.873,2.2350836,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.863,2.2205007,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.852,2.2153111,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.844,2.2136855,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.846,2.21875,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.846,2.2267792,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.845,2.2309554,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.833,2.2299271,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.81,2.2235873,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.804,2.2162163,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.798,2.206135,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.779,2.2017326,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.767,2.2004981,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.772,2.1985111,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.782,2.2027194,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.786,2.2022195,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.788,2.1992619,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.784,2.1943419,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.795,2.199755,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.808,2.2075703,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.811,2.2112331,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.828,2.2157576,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.82,2.2195122,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.812,2.2260442,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.813,2.2327585,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.801,2.2344913,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.788,2.2377973,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.173,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.186,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.167,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.156,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.123,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.08,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.033,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.969,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.923,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.885,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.855,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.852,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.823,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.813,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.808,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.796,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.77,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.757,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.758,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.754,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.751,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.756,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.742,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.751,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.774,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.78,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.767,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.746,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.721,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.695,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.672,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.669,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.658,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.652,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.657,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.646,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.638,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.65,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.65,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.653,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.66,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.652,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.644,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.649,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.638,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
