Figure Order,Figure 1
Figure Title,The Peak in Annual Births Is in the Past
Source,"Historical data through 1949 are replicated from Spears et al. (2024) (see Weston 2024), which itself draws on sources compiled by Our World in Data (Mathieu and Rods-Guirao 2022). Data from 1950 to 2100 are estimates and projections from the 2024 UN World Population Prospects (United Nations 2024). Beyond 2100 are cohort-component projections from Spears et al. (2024) that extend the UN Medium projection in a scenario in which the global average total fertility rate converges to 1.5."
Note,The figure displays the worldwide count of annual births.

year,BirthsPerYearMillions,inplotlabel
2018,140.33273,
2019,138.59679,
2020,134.71962,
2021,133.44884,
2022,132.47539,
2023,132.11026,UN Medium Projections 2024â2100
2024,132.40593,
2025,132.39917,
2026,132.50348,
2027,132.59097,
2028,132.76118,
2029,132.98866,
2030,133.25639,
2031,133.5134,
2032,133.76479,
2033,134.0652,
2034,134.38101,
2035,134.66925,
2036,134.9456,
2037,135.14099,
2038,135.35532,
2039,135.5153,
2040,135.66899,
2041,135.67267,
2042,135.63593,
2043,135.58093,
2044,135.40666,
2045,135.10893,
2046,134.76385,
2047,134.27087,
2048,133.75212,
2049,133.16333,
2050,132.55519,
2051,131.92287,
2052,131.28033,
2053,130.66663,
2054,130.01958,
2055,129.48456,
2056,128.99483,
2057,128.53052,
2058,128.10997,
2059,127.75477,
2060,127.43115,
2061,127.11697,
2062,126.87644,
2063,126.63499,
2064,126.42959,
2065,126.21835,
2066,126.01944,
2067,125.79303,
2068,125.54678,
2069,125.2596,
2070,124.98637,
2071,124.69633,
2072,124.34833,
2073,123.982,
2074,123.57275,
2075,123.13981,
2076,122.69272,
2077,122.20934,
2078,121.66048,
2079,121.10667,
2080,120.55486,
2081,119.95495,
2082,119.41196,
2083,118.80412,
2084,118.22025,
2085,117.62229,
2086,117.02843,
2087,116.44224,
2088,115.88648,
2089,115.34502,
2090,114.80456,
2091,114.2833,
2092,113.77258,
2093,113.26238,
2094,112.77254,
2095,112.28219,
2096,111.83067,
2097,111.3971,
2098,110.94116,
2099,110.50081,
2100,110.02847,Spears et al. (2024) Projection if TFR 1.5
2105,106.37791,
2110,102.67503,
2115,98.88237,
2120,95.112663,
2125,91.379311,
2130,87.612015,
2135,83.739784,
2140,79.769005,
2145,75.780594,
2150,71.911522,
2155,68.294113,
2160,64.897903,
2165,61.657665,
2170,58.56916,
2175,55.586594,
2180,52.769745,
2185,50.095737,
2190,47.575638,
2195,45.201157,
2200,42.949986,
2205,40.795849,
2210,38.738613,
2215,36.785065,
2220,34.938225,
2225,33.192356,
2230,31.536049,
2235,29.958698,
2240,28.455339,
2245,27.02578,
2250,25.670227,
2255,24.385996,
2260,23.167616,
2265,22.009295,
2270,20.90707,
2275,19.859016,
2280,18.863884,
2285,17.919724,
2290,17.02359,
2295,16.172218,
