ChildlessnessPercent,CCF,HFDCountry,DHSIndianDistrict,Title,Note,Source
0.010416667,3.28125,0,1,,,
0,3.564102649688721,0,1,,,
0.028301887,3.037735939025879,0,1,,,
0.043478262,2.880434752,0,1,,,
0.02586207,2.905172348022461,0,1,,,
0.010204081,3.061224460601807,0,1,,,
0.015503876,3.093023300170898,0,1,,,
0,2.945652246,0,1,,,
0.040816326,2.870748281478882,0,1,,,
0.018181818,3.181818246841431,0,1,,,
0.033898305,2.669491529464722,0,1,,,
0.050420169,2.478991508483887,0,1,,,
0.029999999,2.779999971389771,0,1,,,
0.029126214,2.689320326,0,1,,,
0.030534351,2.862595319747925,0,1,,,
0.024390243,3.276422739028931,0,1,,,
0,3.463636398,0,1,,,
0.033613447,3.512604951858521,0,1,,,
0.043956045,4.153846263885498,0,1,,,
0.03305785,3.925619840621948,0,1,,,
0.036363635,3.290909051895142,0,1,,,
0,3.724138021469116,0,1,,,
0.013513514,3.405405521392822,0,1,,,
0.046728972,3.345794439315796,0,1,,,
0.043956045,3.560439586639404,0,1,,,
0.009708738,3.417475700378418,0,1,,,
0.01,3.619999885559082,0,1,,,
0.011904762,3.5,0,1,,,
0.02020202,3.737373828887939,0,1,,,
0.009345794,3.850467205047607,0,1,,,
0.029411765,4.029411792755127,0,1,,,
0.05319149,3.468085050582886,0,1,,,
0.02586207,4.155172348022461,0,1,,,
0,3.982142925262451,0,1,,,
0.018181818,3.963636398,0,1,,,
0.019607844,4.186274528503418,0,1,,,
0.045977011,3.195402383804321,0,1,,,
0.043478262,2.852173805236816,0,1,,,
0.010869565,3.760869503,0,1,,,
0.019417476,4.145630836486816,0,1,,,
0.009259259,3.472222328186035,0,1,,,
0.01754386,3.631578922271729,0,1,,,
0.036697246,3.284403562545776,0,1,,,
0.041666668,2.78125,0,1,,,
0.016260162,3.195122003555298,0,1,,,
0.035714287,2.742857217788696,0,1,,,
0.020408163,3.537415027618408,0,1,,,
0,3.366197109222412,0,1,,,
0.009174312,3.697247743606567,0,1,,,
0.039682541,3.611111164093018,0,1,,,
0.03508772,3.5,0,1,,,
0,3.517241477966309,0,1,,,
0.034188036,3.495726585388184,0,1,,,
0.009174312,4.697247505187988,0,1,,,
0.034188036,3.974359035491943,0,1,,,
0.011235955,3.696629285812378,0,1,,,
0.043010753,3.215053796768188,0,1,,,
0.015873017,3.650793552398682,0,1,,,
0.016666668,4,0,1,,,
0.01980198,3.693069219589233,0,1,,,
0.021505376,3.817204236984253,0,1,,,
0.020408163,3.785714387893677,0,1,,,
0.010204081,3.948979616165161,0,1,,,
0.019417476,3.252427101135254,0,1,,,
0,3.322580575942993,0,1,,,
0.009174312,3.284403562545776,0,1,,,
0.017857144,3.392857074737549,0,1,,,
0,3.344537734985352,0,1,,,
0,2.973684310913086,0,1,,,
0.017241379,3.310344934463501,0,1,,,
0.024590164,3.549180269241333,0,1,,,
0.022222223,3.214814901351929,0,1,,,
0.014184397,3.127659559249878,0,1,,,
0.007692308,3.430769205093384,0,1,,,
0.041322313,3.280991792678833,0,1,,,
0.022900764,3.099236726760864,0,1,,,
0.022222223,3.503703594207764,0,1,,,
0.02238806,3.298507452011108,0,1,,,
0,3.430894374847412,0,1,,,
0.010752688,4.129032135009766,0,1,,,
0.043010753,4.279570103,0,1,,,
0.048192769,3.927710771560669,0,1,,,
0.011494253,3.839080572128296,0,1,,,
0,3.797297239303589,0,1,,,
0,4.333333492279053,0,1,,,
0.017241379,4.068965435028076,0,1,,,
